id;creation_date;banned_user;banned_date
1;2019-10-05T05:31:18;false;2019-10-05T10:09:30
2;2019-10-05T09:57:11;true;2019-10-05T05:31:07
3;2019-10-04T17:19:35;true;2019-10-04T16:47:42
4;2019-10-04T15:19:37;true;2019-10-04T19:44:53
5;2019-10-05T08:30:50;true;2019-10-05T01:41:16
6;2019-10-04T18:39:55;false;2019-10-04T12:19:56
7;2019-10-04T13:34:36;true;2019-10-04T19:19:55
8;2019-10-04T23:30:15;false;2019-10-05T08:00:04
9;2019-10-05T08:45:56;false;2019-10-05T02:49:39
10;2019-10-04T18:14:20;false;2019-10-04T18:18:32
