id;creation_date;image;image_content_type
1;2019-10-04T12:43:33;../fake-data/blob/hipster.png;image/png
2;2019-10-04T18:14:08;../fake-data/blob/hipster.png;image/png
3;2019-10-04T19:44:13;../fake-data/blob/hipster.png;image/png
4;2019-10-04T20:21:17;../fake-data/blob/hipster.png;image/png
5;2019-10-05T10:04:13;../fake-data/blob/hipster.png;image/png
6;2019-10-05T01:21:23;../fake-data/blob/hipster.png;image/png
7;2019-10-05T07:51:21;../fake-data/blob/hipster.png;image/png
8;2019-10-04T11:43:41;../fake-data/blob/hipster.png;image/png
9;2019-10-04T18:22:02;../fake-data/blob/hipster.png;image/png
10;2019-10-04T10:55:24;../fake-data/blob/hipster.png;image/png
